Date,Round,Venue,GF,GA,Opponent,xG,xGA
2022-08-07,Matchweek 1,Home,2.0,2.0,Brentford,0.6,0.8
2022-08-13,Matchweek 2,Away,2.0,4.0,Arsenal,0.5,2.7
2022-08-20,Matchweek 3,Home,1.0,2.0,Southampton,0.3,0.9
2022-08-27,Matchweek 4,Away,1.0,2.0,Chelsea,2.5,1.8
2022-09-01,Matchweek 5,Home,0.0,1.0,Manchester Utd,0.7,1.5
2022-09-04,Matchweek 6,Away,2.0,5.0,Brighton,1.4,2.6
2022-09-10,Matchweek 7,Home,,,Aston Villa,,
2022-09-17,Matchweek 8,Away,2.0,6.0,Tottenham,1.8,2.2
2022-10-03,Matchweek 9,Home,4.0,0.0,Nott'ham Forest,1.3,1.1
2022-10-08,Matchweek 10,Away,1.0,2.0,Bournemouth,1.0,1.1
2022-10-15,Matchweek 11,Home,0.0,0.0,Crystal Palace,1.0,0.4
2022-10-20,Matchweek 12,Home,2.0,0.0,Leeds United,0.8,1.3
2022-10-23,Matchweek 13,Away,4.0,0.0,Wolves,0.9,2.1
2022-10-29,Matchweek 14,Home,0.0,1.0,Manchester City,0.7,1.0
2022-11-05,Matchweek 15,Away,2.0,0.0,Everton,2.3,1.2
2022-11-12,Matchweek 16,Away,2.0,0.0,West Ham,1.8,1.4
2022-12-26,Matchweek 17,Home,0.0,3.0,Newcastle Utd,0.5,1.9
2022-12-30,Matchweek 18,Away,1.0,2.0,Liverpool,1.0,2.2
2023-01-03,Matchweek 19,Home,0.0,1.0,Fulham,1.7,1.7
2023-01-14,Matchweek 20,Away,0.0,2.0,Nott'ham Forest,1.0,2.4
2023-01-21,Matchweek 21,Home,2.0,2.0,Brighton,0.9,1.7
2023-02-04,Matchweek 22,Away,4.0,2.0,Aston Villa,2.6,1.7
2023-02-11,Matchweek 23,Home,4.0,1.0,Tottenham,1.5,1.2
2023-02-19,Matchweek 24,Away,0.0,3.0,Manchester Utd,1.4,4.1
2023-02-25,Matchweek 25,Home,,,Arsenal,,
2023-03-04,Matchweek 26,Away,,,Southampton,,
2023-03-11,Matchweek 27,Home,,,Chelsea,,
2023-03-18,Matchweek 28,Away,,,Brentford,,
2023-04-01,Matchweek 29,Away,,,Crystal Palace,,
2023-04-08,Matchweek 30,Home,,,Bournemouth,,
2023-04-15,Matchweek 31,Away,,,Manchester City,,
2023-04-22,Matchweek 32,Home,,,Wolves,,
2023-04-25,Matchweek 33,Away,,,Leeds United,,
2023-04-29,Matchweek 34,Home,,,Everton,,
2023-05-06,Matchweek 35,Away,,,Fulham,,
2023-05-13,Matchweek 36,Home,,,Liverpool,,
2023-05-20,Matchweek 37,Away,,,Newcastle Utd,,
2023-05-28,Matchweek 38,Home,,,West Ham,,
