id,code,draw,form,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,fbref_id
1,3,0,,0,Arsenal,0,0,0,ARS,4,,False,0,1220,1270,1240,1250,1200,1270,1,18bb7c10
2,7,0,,0,Aston Villa,0,0,0,AVL,3,,False,0,1090,1100,1110,1130,1090,1110,2,8602292d
3,91,0,,0,Bournemouth,0,0,0,BOU,3,,False,0,1060,1090,1070,1130,1050,1080,127,4ba7cbea
4,94,0,,0,Brentford,0,0,0,BRE,3,,False,0,1100,1130,1100,1110,1130,1160,130,cd051869
5,36,0,,0,Brighton,0,0,0,BHA,3,,False,0,1150,1160,1140,1160,1170,1190,131,d07537b9
6,8,0,,0,Chelsea,0,0,0,CHE,4,,False,0,1200,1220,1200,1210,1180,1210,4,cff3d9bb
7,31,0,,0,Crystal Palace,0,0,0,CRY,3,,False,0,1100,1140,1100,1170,1080,1140,6,47c64c55
8,11,0,,0,Everton,0,0,0,EVE,3,,False,0,1080,1100,1080,1080,1080,1080,7,d3fd31cc
9,54,0,,0,Fulham,0,0,0,FUL,3,,False,0,1075,1100,1070,1070,1100,1130,34,fd962109
10,13,0,,0,Leicester,0,0,0,LEI,3,,False,0,1130,1130,1080,1160,1180,1120,26,a2d435b3
11,2,0,,0,Leeds,0,0,0,LEE,3,,False,0,1100,1100,1080,1090,1140,1130,9,5bfb9659
12,14,0,,0,Liverpool,0,0,0,LIV,5,,False,0,1300,1350,1270,1300,1320,1360,10,822bd0ba
13,43,0,,0,Man City,0,0,0,MCI,5,,False,0,1350,1370,1340,1350,1360,1370,11,b8fd03ef
14,1,0,,0,Man Utd,0,0,0,MUN,3,,False,0,1150,1220,1130,1180,1170,1230,12,19538871
15,4,0,,0,Newcastle,0,0,0,NEW,3,,False,0,1160,1210,1180,1210,1150,1200,23,b2b47a98
16,17,0,,0,Nott'm Forest,0,0,0,NFO,2,,False,0,1045,1080,1050,1070,1040,1100,15,e4a775cb
17,20,0,,0,Southampton,0,0,0,SOU,3,,False,0,1090,1100,1090,1090,1080,1100,20,33c895d4
18,6,0,,0,Spurs,0,0,0,TOT,4,,False,0,1190,1230,1170,1210,1180,1220,21,361ca564
19,21,0,,0,West Ham,0,0,0,WHU,3,,False,0,1100,1120,1130,1130,1110,1130,25,7c21e445
20,39,0,,0,Wolves,0,0,0,WOL,3,,False,0,1100,1100,1130,1120,1080,1080,38,8cec06e1
